S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
367,23,Madhya Pradesh(State),417,Morena,मुरैना,Madhya Pradesh(State),MRN,02,419,Not Covered,,,,
114,10,Bihar(State),208,Muzaffarpur,मुजफ्फरपुर,Bihar(State),MUZ,14,216,Not Covered,,,,
410,27,Maharashtra(State),483,Mumbai Suburban,मुंबई उपनगर,Maharashtra(State),MMS,22,518,Not Covered,,,,
409,27,Maharashtra(State),482,Mumbai,मुंबई,Maharashtra(State),MMB,23,519,Not Covered,,,,
153,22,Chhattisgarh(State),647,Mungeli,मुंगेली,Chhattisgarh(State),MUN,,000,Not Covered,,,,
113,10,Bihar(State),207,Munger,मुंगेर,Bihar(State),MNG,24,226,Not Covered,,,,
736,9,Uttar Pradesh(State),170,Mirzapur,मिर्ज़ापुर,Uttar Pradesh(State),MZP,69,199,Not Covered,,,,
85,22,Chhattisgarh(State),385,Mahasamund,महासमुंद,Chhattisgarh(State),MHS,12,411,Not Covered,,,,
365,23,Madhya Pradesh(State),416,Mandsaur,मन्दसौर,Madhya Pradesh(State),MAN,19,433,Not Covered,,,,
151,22,Chhattisgarh(State),760,Manendragarh-Chirmiri-Bharatpur(M C B),मनेन्द्रगढ़-चिरमिरी-भरतपुर(ऍम.सी.बी.),Chhattisgarh(State),MNN,,000,Partially Covered,,,,
111,10,Bihar(State),205,Madhepura,मधेपुरा,Bihar(State),MDP,11,213,Not Covered,,,,
112,10,Bihar(State),206,Madhubani,मधुबनी,Bihar(State),MDB,05,207,Not Covered,,,,
366,23,Madhya Pradesh(State),766,MAUGANJ,मऊगंज,Madhya Pradesh(State),MGJ,,,Not Covered,,,,
364,23,Madhya Pradesh(State),415,Mandla,मंडला,Madhya Pradesh(State),MDL,42,454,Partially Covered,,,,
345,23,Madhya Pradesh(State),396,Bhopal,भोपाल,Madhya Pradesh(State),BHP,32,444,Not Covered,,,,
99,10,Bihar(State),193,Bhojpur,भोजपुर,Bihar(State),BJP,29,231,Not Covered,,,,
344,23,Madhya Pradesh(State),395,Bhind,भिण्ड,Madhya Pradesh(State),BHN,03,420,Not Covered,,,,
98,10,Bihar(State),192,Bhagalpur,भागलपुर,Bihar(State),BGO,22,224,Not Covered,,,,
396,27,Maharashtra(State),471,Bhandara,भंडारा,Maharashtra(State),BHA,10,506,Not Covered,,,,
545,8,Rajasthan(State),774,Beawar,ब्‍यावर,Rajasthan(State),BWR,,,Not Covered,,,,
265,20,Jharkhand(State),322,Bokaro,बोकारो,Jharkhand(State),BKR,13,355,Not Covered,,,,
343,23,Madhya Pradesh(State),394,Betul,बैतूल,Madhya Pradesh(State),BTL,35,447,Not Covered,,,,
136,22,Chhattisgarh(State),650,Bemetara,बेमेतरा,Chhattisgarh(State),BEM,,000,Not Covered,,,,
97,10,Bihar(State),191,Begusarai,बेगूसराय,Bihar(State),BSR,20,222,Not Covered,,,,
397,27,Maharashtra(State),472,Buldhana,बुलढाणा,Maharashtra(State),BUL,04,500,Not Covered,,,,
346,23,Madhya Pradesh(State),397,Burhanpur,बुरहानपुर,Madhya Pradesh(State),BRH,29,467,Not Covered,,,,
395,27,Maharashtra(State),470,Beed,बीड,Maharashtra(State),BEE,27,523,Not Covered,,,,
137,22,Chhattisgarh(State),636,Bijapur,बीजापुर,Chhattisgarh(State),BIJ,16,417,Partially Covered,,,,
138,22,Chhattisgarh(State),375,Bilaspur,बिलासपुर,Chhattisgarh(State),BLP,07,406,Partially Covered,,,,
132,22,Chhattisgarh(State),646,Balod,बालोद,Chhattisgarh(State),BLD,,000,Not Covered,,,,
541,8,Rajasthan(State),775,Balotra,बालोतरा,Rajasthan(State),BLT,,,Not Covered,,,,
341,23,Madhya Pradesh(State),392,Balaghat,बालाघाट,Madhya Pradesh(State),BGT,45,457,Not Covered,,,,
96,10,Bihar(State),190,Banka,बांका,Bihar(State),BNK,23,225,Not Covered,,,,
135,22,Chhattisgarh(State),374,Bastar,बस्तर,Chhattisgarh(State),BAS,15,414,Partially Covered,,,,
133,22,Chhattisgarh(State),644,Balodabazar-Bhatapara,बलौदाबाजार-भाटापारा,Chhattisgarh(State),BLB,,000,Not Covered,,,,
134,22,Chhattisgarh(State),649,Balrampur-Ramanujganj,बलरामपुर-रामानुजगंज,Chhattisgarh(State),BLM,,000,Partially Covered,,,,
342,23,Madhya Pradesh(State),393,Barwani,बड़वानी,Madhya Pradesh(State),BRW,28,441,Partially Covered,,,,
100,10,Bihar(State),194,Buxar,बक्सर,Bihar(State),BUX,30,232,Not Covered,,,,
571,8,Rajasthan(State),772,Phalodi,फलाैदी,Rajasthan(State),PHL,,,Not Covered,,,,
270,20,Jharkhand(State),327,East Singhbum,पूर्वी सिंघभूम,Jharkhand(State),ESM,18,357,Not Covered,,,,
119,10,Bihar(State),213,Purbi Champaran,पूर्वी चंपारण,Bihar(State),PRC,02,204,Not Covered,,,,
120,10,Bihar(State),214,Purnia,पूर्णिया,Bihar(State),PRN,09,211,Not Covered,,,,
417,27,Maharashtra(State),490,Pune,पुणे,Maharashtra(State),PUN,25,521,Not Covered,,,,
415,27,Maharashtra(State),665,Palghar,पालघर,Maharashtra(State),PLG,,000,Not Covered,,,,
281,20,Jharkhand(State),337,Pakur,पाकुर,Jharkhand(State),PKR,10,353,Not Covered,,,,
372,23,Madhya Pradesh(State),785,Pandhurna,पांढुर्णा,Madhya Pradesh(State),PND,,,Not Covered,,,,
288,20,Jharkhand(State),343,West Singhbhum,पश्चिमी सिंघभूम,Jharkhand(State),WSM,17,368,Not Covered,,,,
117,10,Bihar(State),211,Pashchim Champaran,पश्चिम चम्पारण,Bihar(State),PSC,01,203,Not Covered,,,,
282,20,Jharkhand(State),338,Palamu,पलामू,Jharkhand(State),PLM,02,358,Not Covered,,,,
416,27,Maharashtra(State),489,Parbhani,परभणी,Maharashtra(State),PBN,17,513,Not Covered,,,,
373,23,Madhya Pradesh(State),420,Panna,पन्ना,Madhya Pradesh(State),PNN,10,426,Not Covered,,,,
118,10,Bihar(State),212,Patna,पटना,Bihar(State),PTN,28,230,Not Covered,,,,
224,6,Haryana(State),604,Nuh,नूँह,Haryana(State),MWT,,087,Not Covered,,,,
370,23,Madhya Pradesh(State),419,Neemuch,नीमच,Madhya Pradesh(State),NMC,18,432,Not Covered,,,,
371,23,Madhya Pradesh(State),722,Niwari,निवारी,Madhya Pradesh(State),NWR,,000,Not Covered,,,,
414,27,Maharashtra(State),487,Nashik,नाशिक,Maharashtra(State),NSH,20,516,Not Covered,,,,
115,10,Bihar(State),209,Nalanda,नालंदा,Bihar(State),NLD,27,229,Not Covered,,,,
154,22,Chhattisgarh(State),637,Narayanpur,नारायणपुर,Chhattisgarh(State),NRY,,415,Partially Covered,,,,
411,27,Maharashtra(State),484,Nagpur,नागपूर,Maharashtra(State),NGP,09,505,Not Covered,,,,
412,27,Maharashtra(State),485,Nanded,नांदेड,Maharashtra(State),NAN,15,511,Not Covered,,,,
116,10,Bihar(State),210,Nawada,नवादा,Bihar(State),NAW,36,237,Not Covered,,,,
368,23,Madhya Pradesh(State),409,Narmadapuram,नर्मदापुरम,Madhya Pradesh(State),HSH,37,449,Not Covered,,,,
369,23,Madhya Pradesh(State),418,Narsimhapur,नरसिंहपुर,Madhya Pradesh(State),NRS,40,452,Not Covered,,,,
413,27,Maharashtra(State),486,Nandurbar,नंदूरबार,Maharashtra(State),NNR,01,497,Not Covered,,,,
401,27,Maharashtra(State),474,Dhule,धुळे,Maharashtra(State),DHU,02,498,Not Covered,,,,
400,27,Maharashtra(State),488,Dharashiv,धाराशिव,Maharashtra(State),OSM,29,525,Not Covered,,,,
352,23,Madhya Pradesh(State),403,Dhar,धार,Madhya Pradesh(State),DHA,25,438,Not Covered,,,,
140,22,Chhattisgarh(State),377,Dhamtari,धमतरी,Chhattisgarh(State),DMT,13,412,Partially Covered,,,,
268,20,Jharkhand(State),325,Dhanbad,धनबाद,Jharkhand(State),DHN,12,354,Not Covered,,,,
351,23,Madhya Pradesh(State),402,Dewas,देवास,Madhya Pradesh(State),DWS,23,437,Not Covered,,,,
267,20,Jharkhand(State),324,Deoghar,देवघर,Jharkhand(State),DGH,07,350,Not Covered,,,,
141,22,Chhattisgarh(State),378,Durg,दुर्ग,Chhattisgarh(State),DRG,10,409,Not Covered,,,,
269,20,Jharkhand(State),326,Dumka,दुमका,Jharkhand(State),DMK,11,362,Not Covered,,,,
101,10,Bihar(State),195,Darbhanga,दरभंगा,Bihar(State),DBG,13,215,Not Covered,,,,
349,23,Madhya Pradesh(State),400,Damoh,दमोह,Madhya Pradesh(State),DMH,12,428,Not Covered,,,,
350,23,Madhya Pradesh(State),401,Datia,दतिया,Madhya Pradesh(State),DAT,05,422,Not Covered,,,,
139,22,Chhattisgarh(State),376,Dakshin Bastar Dantewada,दक्षिण बस्तर दंतेवाड़ा,Chhattisgarh(State),DNT,16,416,Partially Covered,,,,
555,8,Rajasthan(State),768,Didwana-Kuchaman,डीडवाना-कुचामन,Rajasthan(State),DDW,,,Not Covered,,,,
553,8,Rajasthan(State),767,Deeg,डीग,Rajasthan(State),DEE,,,Not Covered,,,,
353,23,Madhya Pradesh(State),404,Dindori,डिंडोरी,Madhya Pradesh(State),DND,41,453,Partially Covered,,,,
424,27,Maharashtra(State),497,Thane,ठाणे,Maharashtra(State),THN,21,517,Not Covered,,,,
388,23,Madhya Pradesh(State),434,Tikamgarh,टीकमगढ़,Madhya Pradesh(State),TKM,08,424,Not Covered,,,,
359,23,Madhya Pradesh(State),412,Jhabua,झाबुआ,Madhya Pradesh(State),JHA,24,464,Partially Covered,,,,
406,27,Maharashtra(State),479,Jalna,जालना,Maharashtra(State),JAL,18,514,Not Covered,,,,
276,20,Jharkhand(State),333,Jamtara,जामताड़ा,Jharkhand(State),JMT,20,363,Not Covered,,,,
144,22,Chhattisgarh(State),379,Janjgir-Champa,जांजगीर - चाम्पा,Chhattisgarh(State),JCH,06,405,Not Covered,,,,
105,10,Bihar(State),199,Jehanabad,जहानाबाद,Bihar(State),JHB,33,239,Not Covered,,,,
145,22,Chhattisgarh(State),380,Jashpur,जशपुर,Chhattisgarh(State),JSH,03,402,Partially Covered,,,,
405,27,Maharashtra(State),478,Jalgaon,जळगाव,Maharashtra(State),JLG,03,499,Partially Covered,,,,
104,10,Bihar(State),198,Jamui,जमुई,Bihar(State),JAM,37,238,Not Covered,,,,
358,23,Madhya Pradesh(State),411,Jabalpur,जबलपुर,Madhya Pradesh(State),JBL,39,451,Not Covered,,,,
347,23,Madhya Pradesh(State),398,Chhatarpur,छ्तरपुर,Madhya Pradesh(State),CRP,09,425,Not Covered,,,,
348,23,Madhya Pradesh(State),399,Chhindwara,छिन्दवाड़ा,Madhya Pradesh(State),CDW,43,455,Not Covered,,,,
399,27,Maharashtra(State),469,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर,Maharashtra(State),AUR,19,515,Not Covered,,,,
266,20,Jharkhand(State),323,Chatra,चतरा,Jharkhand(State),CHT,03,347,Not Covered,,,,
398,27,Maharashtra(State),473,Chandrapur,चंद्रपूर,Maharashtra(State),CPR,13,509,Partially Covered,,,,
271,20,Jharkhand(State),328,Garhwa,गढ़वा,Jharkhand(State),GRH,01,346,Not Covered,,,,
355,23,Madhya Pradesh(State),407,Gwalior,ग्वालियर,Madhya Pradesh(State),GWL,04,421,Not Covered,,,,
143,22,Chhattisgarh(State),734,Gaurela-Pendra-Marwahi,गौरेला-पेंड्रा-मरवाही,Chhattisgarh(State),GRL,,000,Fully Covered,,,,
103,10,Bihar(State),197,Gopalganj,गोपालगंज,Bihar(State),GPG,15,217,Not Covered,,,,
273,20,Jharkhand(State),330,Godda,गोड्डा,Jharkhand(State),GDD,08,351,Not Covered,,,,
403,27,Maharashtra(State),476,Gondia,गोंदीया,Maharashtra(State),GON,11,507,Not Covered,,,,
274,20,Jharkhand(State),331,Gumla,गुमला,Jharkhand(State),GML,16,366,Not Covered,,,,
354,23,Madhya Pradesh(State),406,Guna,गुना,Madhya Pradesh(State),GUN,07,458,Not Covered,,,,
272,20,Jharkhand(State),329,Giridih,गिरिडीह,Jharkhand(State),GIR,06,349,Not Covered,,,,
142,22,Chhattisgarh(State),645,Gariyaband,गरियाबंद,Chhattisgarh(State),GRY,,000,Partially Covered,,,,
102,10,Bihar(State),196,Gaya,गया,Bihar(State),GAY,35,236,Not Covered,,,,
402,27,Maharashtra(State),475,Gadchiroli,गडचिरोली,Maharashtra(State),GDC,12,508,Not Covered,,,,
147,22,Chhattisgarh(State),759,Khairagarh-Chhuikhadan-Gandai,खैरागढ़-छुईखदान-गंडई,Chhattisgarh(State),KCG,,000,Not Covered,,,,
566,8,Rajasthan(State),770,Khairthal-Tijara,खैरथल-तिजारा,Rajasthan(State),KTJ,,,Not Covered,,,,
277,20,Jharkhand(State),606,Khunti,खूंटी,Jharkhand(State),KNT,14,365,Not Covered,,,,
362,23,Madhya Pradesh(State),414,Khargone (West Nimar),खरगोन (पश्चिम निमाड़),Madhya Pradesh(State),KHA,27,440,Not Covered,,,,
361,23,Madhya Pradesh(State),405,Khandwa (East Nimar),खण्डवा (पूर्व निमाड़),Madhya Pradesh(State),ENR,29,466,Not Covered,,,,
108,10,Bihar(State),202,Khagaria,खगड़िया,Bihar(State),KGR,21,223,Not Covered,,,,
407,27,Maharashtra(State),480,Kolhapur,कोल्हापूर,Maharashtra(State),KLP,34,530,Not Covered,,,,
150,22,Chhattisgarh(State),384,Korea,कोरिया,Chhattisgarh(State),KOR,01,400,Partially Covered,,,,
149,22,Chhattisgarh(State),383,Korba,कोरबा,Chhattisgarh(State),KRB,05,404,Partially Covered,,,,
278,20,Jharkhand(State),334,Koderma,कोडरमा,Jharkhand(State),KDR,05,348,Not Covered,,,,
568,8,Rajasthan(State),782,Kotputli-Behror,कोटपूतली-बहरोड,Rajasthan(State),KTP,,,Not Covered,,,,
148,22,Chhattisgarh(State),643,Kondagaon,कोंडागांव,Chhattisgarh(State),KON,,000,Partially Covered,,,,
106,10,Bihar(State),200,Kaimur (Bhabua),कैमूर ( भभुआ ),Bihar(State),KMR,31,233,Not Covered,,,,
109,10,Bihar(State),203,Kishanganj,किशनगंज,Bihar(State),KSG,08,210,Not Covered,,,,
146,22,Chhattisgarh(State),382,Kabeerdham,कबीरधाम,Chhattisgarh(State),KDM,08,407,Not Covered,,,,
107,10,Bihar(State),201,Katihar,कटिहार,Bihar(State),KTR,10,212,Not Covered,,,,
360,23,Madhya Pradesh(State),413,Katni,कटनी,Madhya Pradesh(State),KTN,38,450,Not Covered,,,,
95,10,Bihar(State),189,Aurangabad,औरंगाबाद,Bihar(State),AGB,34,235,Not Covered,,,,
390,23,Madhya Pradesh(State),436,Umaria,उमरिया,Madhya Pradesh(State),UMA,15,431,Not Covered,,,,
163,22,Chhattisgarh(State),381,Uttar Bastar Kanker,उत्तर बस्तर कांकेर,Chhattisgarh(State),KNK,14,413,Partially Covered,,,,
389,23,Madhya Pradesh(State),435,Ujjain,उज्जैन,Madhya Pradesh(State),UJJ,21,435,Not Covered,,,,
357,23,Madhya Pradesh(State),410,Indore,इन्दौर,Madhya Pradesh(State),IND,26,439,Not Covered,,,,
337,23,Madhya Pradesh(State),667,Agar-Malwa,आगर-मालवा,Madhya Pradesh(State),AGM,,000,Not Covered,,,,
392,27,Maharashtra(State),466,Ahilyanagar,अहिल्यानगर,Maharashtra(State),AHN,26,522,Not Covered,,,,
340,23,Madhya Pradesh(State),391,Ashoknagar,अशोकनगर,Madhya Pradesh(State),ANR,46,459,Not Covered,,,,
338,23,Madhya Pradesh(State),639,Alirajpur,अलीराजपुर,Madhya Pradesh(State),ALI,24,465,Partially Covered,,,,
94,10,Bihar(State),611,Arwal,अरवल,Bihar(State),ARW,33,240,Not Covered,,,,
93,10,Bihar(State),188,Araria,अररिया,Bihar(State),ARA,07,209,Not Covered,,,,
394,27,Maharashtra(State),468,Amravati,अमरावती,Maharashtra(State),AMV,07,503,Not Covered,,,,
339,23,Madhya Pradesh(State),390,Anuppur,अनूपपुर,Madhya Pradesh(State),ANP,16,461,Not Covered,,,,
393,27,Maharashtra(State),467,Akola,अकोला,Maharashtra(State),AKO,05,501,Not Covered,,,,
483,13,Nagaland(State),251,Zunheboto,ZUNHEBOTO,Nagaland(State),ZNH,04,263,Not Covered,,,,
232,6,Haryana(State),76,Yamunanagar,YAMUNANAGAR,Haryana(State),YMN,03,071,Not Covered,,,,
482,13,Nagaland(State),250,Wokha,WOKHA,Nagaland(State),WKH,05,264,Not Covered,,,,
56,12,Arunachal Pradesh(State),243,West Siang,WEST SIANG,Arunachal Pradesh(State),WSG,07,250,Not Covered,,,,
455,17,Meghalaya(State),279,West Khasi Hills,WEST KHASI HILLS,Meghalaya(State),WKA,04,296,Not Covered,,,,
55,12,Arunachal Pradesh(State),242,West Kameng,WEST KAMENG,Arunachal Pradesh(State),WKG,02,246,Not Covered,,,,
454,17,Meghalaya(State),275,West Jaintia Hills,WEST JAINTIA HILLS,Meghalaya(State),WJH,07,299,Not Covered,,,,
453,17,Meghalaya(State),278,West Garo Hills,WEST GARO HILLS,Meghalaya(State),WGH,01,293,Not Covered,,,,
174,7,Delhi(State),85,West,WEST,Delhi(State),WSD,07,096,Not Covered,,,,
27,28,Andhra Pradesh(State),521,Vizianagaram,VIZIANAGARAM,Andhra Pradesh(State),VNG,12,543,Not Covered,,,,
623,33,Tamil Nadu(State),597,Virudhunagar,VIRUDHUNAGAR,Tamil Nadu(State),VIR,26,625,Not Covered,,,,
622,33,Tamil Nadu(State),596,Viluppuram,VILLUPURAM,Tamil Nadu(State),VIL,07,607,Not Covered,,,,
317,29,Karnataka(State),738,Vijayanagara,vijayangara,Karnataka(State),VJY,,000,Not Covered,,,,
621,33,Tamil Nadu(State),595,Vellore,VELLORE,Tamil Nadu(State),VEL,04,605,Not Covered,,,,
755,9,Uttar Pradesh(State),187,Varanasi,VARANASI,Uttar Pradesh(State),VRN,67,197,Not Covered,,,,
209,24,Gujarat(State),462,Valsad,VALSAD,Gujarat(State),VLS,25,491,Partially Covered,,,,
208,24,Gujarat(State),461,Vadodara,VADODARA,Gujarat(State),VDR,19,486,Not Covered,,,,
680,5,Uttarakhand(State),57,Uttarkashi,UTTAR KASHI,Uttarakhand(State),UKS,01,056,Not Covered,,,,
778,19,West Bengal(State),311,Uttar Dinajpur,UTTAR DINAJPUR,West Bengal(State),DPU,04,330,Not Covered,,,,
54,12,Arunachal Pradesh(State),241,Upper Subansiri,UPPER SUBANSIRI,Arunachal Pradesh(State),USI,06,249,Not Covered,,,,
53,12,Arunachal Pradesh(State),240,Upper Siang,UPPER SIANG,Arunachal Pradesh(State),USG,09,252,Not Covered,,,,
754,9,Uttar Pradesh(State),186,Unnao,UNNAO,Uttar Pradesh(State),UNO,26,156,Not Covered,,,,
244,2,Himachal Pradesh(State),26,Una,UNA,Himachal Pradesh(State),UNA,07,029,Not Covered,,,,
443,14,Manipur(State),260,Ukhrul,UKHRUL,Manipur(State),UKH,08,279,Not Covered,,,,
264,1,Jammu And Kashmir(State),14,Udhampur,UDHAMPUR,Jammu And Kashmir(State),UDM,10,019,Not Covered,,,,
679,5,Uttarakhand(State),56,Udham Singh Nagar,UDHAM SINGH NAGAR,Uttarakhand(State),USN,12,067,Not Covered,,,,
579,8,Rajasthan(State),117,Udaipur,UDAIPUR,Rajasthan(State),UDP,26,130,Not Covered,,,,
481,13,Nagaland(State),249,Tuensang,TUENSANG,Nagaland(State),TNS,02,267,Not Covered,,,,
480,13,Nagaland(State),757,Tseminyu,Tseminyu,Nagaland(State),TSM,,000,Not Covered,,,,
578,8,Rajasthan(State),116,Tonk,TONK,Rajasthan(State),TNK,22,120,Not Covered,,,,
620,33,Tamil Nadu(State),593,Tiruvannamalai,TIRUVANNAMALAI,Tamil Nadu(State),TVN,06,606,Not Covered,,,,
619,33,Tamil Nadu(State),634,Tiruppur,TIRUPPUR,Tamil Nadu(State),TRR,,633,Not Covered,,,,
25,28,Andhra Pradesh(State),752,Tirupati,Tirupati,Andhra Pradesh(State),TPT,,000,Not Covered,,,,
617,33,Tamil Nadu(State),592,Tirunelveli,TIRUNELVELI,Tamil Nadu(State),TRN,29,628,Not Covered,,,,
616,33,Tamil Nadu(State),591,Tiruchirappalli,TIRUCHIRAPPALLI,Tamil Nadu(State),TRC,15,614,Not Covered,,,,
52,12,Arunachal Pradesh(State),239,Tirap,TIRAP,Arunachal Pradesh(State),TRP,13,254,Not Covered,,,,
90,18,Assam(State),302,Tinsukia,TINSUKIA,Assam(State),TIN,14,309,Not Covered,,,,
442,14,Manipur(State),259,Thoubal,THOUBAL,Manipur(State),THB,05,276,Not Covered,,,,
615,33,Tamil Nadu(State),594,Thoothukkudi,Thoothukkudi,Tamil Nadu(State),TUT,28,627,Not Covered,,,,
614,33,Tamil Nadu(State),590,Thiruvarur,THIRUVARUR,Tamil Nadu(State),TVV,20,619,Not Covered,,,,
613,33,Tamil Nadu(State),589,Thiruvallur,THIRUVALLUR,Tamil Nadu(State),TRV,01,602,Not Covered,,,,
611,33,Tamil Nadu(State),588,Theni,THENI,Tamil Nadu(State),THE,25,624,Not Covered,,,,
612,33,Tamil Nadu(State),587,The Nilgiris,THE NILGIRIS,Tamil Nadu(State),NIL,11,611,Not Covered,,,,
610,33,Tamil Nadu(State),586,Thanjavur,THANJAVUR,Tamil Nadu(State),TJV,21,620,Not Covered,,,,
441,14,Manipur(State),716,Tengnoupal,TENGNOUPAL,Manipur(State),TNG,,000,Not Covered,,,,
678,5,Uttarakhand(State),55,Tehri Garhwal,TEHRI GARHWAL,Uttarakhand(State),TGR,04,059,Not Covered,,,,
51,12,Arunachal Pradesh(State),238,Tawang,TAWANG,Arunachal Pradesh(State),TWN,01,245,Not Covered,,,,
538,3,Punjab(State),609,Tarn Taran,tarn taran,Punjab(State),TAR,,050,Not Covered,,,,
440,14,Manipur(State),258,Tamenglong,TAMENGLONG,Manipur(State),TMN,02,273,Not Covered,,,,
206,24,Gujarat(State),460,Surendranagar,SURENDRANAGAR,Gujarat(State),SUR,08,475,Not Covered,,,,
205,24,Gujarat(State),459,Surat,SURAT,Gujarat(State),SRT,22,492,Partially Covered,,,,
513,21,Odisha(State),373,Sundargarh,SUNDARGARH,Odisha(State),SDG,05,374,Partially Covered,,,,
753,9,Uttar Pradesh(State),185,Sultanpur,SULTANPUR,Uttar Pradesh(State),SLP,49,179,Not Covered,,,,
263,1,Jammu And Kashmir(State),13,Srinagar,SRINAGAR,Jammu And Kashmir(State),SRN,03,010,Not Covered,,,,
22,28,Andhra Pradesh(State),519,Srikakulam,SRIKAKULAM,Andhra Pradesh(State),SRK,11,542,Not Covered,,,,
24,28,Andhra Pradesh(State),754,Sri Sathya Sai,Sri Sathya Sai,Andhra Pradesh(State),SSS,,000,Not Covered,,,,
452,17,Meghalaya(State),658,South West Khasi Hills,SOUTH WEST KHASI HILLS,Meghalaya(State),SWK,,000,Not Covered,,,,
451,17,Meghalaya(State),663,South West Garo Hills,SOUTH WEST GARO HILLS,Meghalaya(State),SWG,,000,Not Covered,,,,
173,7,Delhi(State),84,South West,SOUTH WEST,Delhi(State),SWD,08,097,Not Covered,,,,
176,30,Goa(State),552,South Goa,SOUTH GOA,Goa(State),SGO,02,586,Not Covered,,,,
450,17,Meghalaya(State),277,South Garo Hills,SOUTH GARO HILLS,Meghalaya(State),SGH,03,295,Not Covered,,,,
172,7,Delhi(State),670,South East,SOUTH EAST,Delhi(State),STS,,000,Not Covered,,,,
3,35,Andaman And Nicobar Islands(State),602,South Andamans,SOUTH ANDAMANS,Andaman And Nicobar Islands(State),SAS,01,640,Not Covered,,,,
777,19,West Bengal(State),304,South 24 Parganas,SOUTH 24 Parganas,West Bengal(State),N24,18,343,Not Covered,,,,
171,7,Delhi(State),83,South,SOUTH,Delhi(State),SDL,09,098,Not Covered,,,,
585,11,Sikkim(State),742,Soreng,Soreng,Sikkim(State),GNS,,000,Not Covered,,,,
86,18,Assam(State),301,Sonitpur,SONITPUR,Assam(State),SON,11,306,Not Covered,,,,
231,6,Haryana(State),75,Sonipat,SONIPAT,Haryana(State),SNP,08,076,Not Covered,,,,
512,21,Odisha(State),372,Sonepur,SONEPUR,Odisha(State),SNE,23,392,Not Covered,,,,
752,9,Uttar Pradesh(State),184,Sonbhadra,SONBHADRA,Uttar Pradesh(State),SBD,70,200,Not Covered,,,,
243,2,Himachal Pradesh(State),25,Solan,SOLAN,Himachal Pradesh(State),SLN,09,031,Not Covered,,,,
84,18,Assam(State),300,Sivasagar,SIVASAGAR,Assam(State),SVS,16,311,Not Covered,,,,
608,33,Tamil Nadu(State),585,Sivaganga,SIVAGANGA,Tamil Nadu(State),SGG,23,622,Not Covered,,,,
751,9,Uttar Pradesh(State),183,Sitapur,SITAPUR,Uttar Pradesh(State),STP,24,154,Not Covered,,,,
230,6,Haryana(State),74,Sirsa,SIRSA,Haryana(State),SRS,11,079,Not Covered,,,,
577,8,Rajasthan(State),115,Sirohi,SIROHI,Rajasthan(State),SRH,19,117,Not Covered,,,,
242,2,Himachal Pradesh(State),24,Sirmaur,SIRMAUR,Himachal Pradesh(State),SRM,10,032,Not Covered,,,,
576,8,Rajasthan(State),114,Sikar,SIKAR,Rajasthan(State),SKR,13,111,Not Covered,,,,
750,9,Uttar Pradesh(State),182,Siddharthnagar,SIDDHARTHNAGAR,Uttar Pradesh(State),SDN,54,184,Not Covered,,,,
466,15,Mizoram(State),267,Siaha,Siaha,Mizoram(State),SAI,08,288,Not Covered,,,,
749,9,Uttar Pradesh(State),181,Shrawasti,SHRAWASTI,Uttar Pradesh(State),SHV,51,181,Not Covered,,,,
262,1,Jammu And Kashmir(State),625,Shopian,SHOPIAN,Jammu And Kashmir(State),SPN,,013,Not Covered,,,,
241,2,Himachal Pradesh(State),23,Shimla,SHIMLA,Himachal Pradesh(State),SHM,11,033,Not Covered,,,,
49,12,Arunachal Pradesh(State),725,Shi Yomi,SHI YOMI,Arunachal Pradesh(State),SHY,,000,Not Covered,,,,
748,9,Uttar Pradesh(State),660,Shamli,SHAMLI,Uttar Pradesh(State),SML,,000,Not Covered,,,,
479,13,Nagaland(State),765,Shamator,Shamator,Nagaland(State),SMR,,000,Not Covered,,,,
747,9,Uttar Pradesh(State),180,Shahjahanpur,SHAHJAHANPUR,Uttar Pradesh(State),SJN,22,152,Not Covered,,,,
536,3,Punjab(State),40,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,Punjab(State),NWN,06,039,Not Covered,,,,
170,7,Delhi(State),671,Shahdara,SHAHDARA,Delhi(State),HHD,,000,Not Covered,,,,
465,15,Mizoram(State),268,Serchhip,SERCHHIP,Mizoram(State),SER,05,285,Not Covered,,,,
439,14,Manipur(State),257,Senapati,SENAPATI,Manipur(State),SNT,01,272,Not Covered,,,,
575,8,Rajasthan(State),113,Sawai Madhopur,SAWAI MADHOPUR,Rajasthan(State),SMP,10,108,Not Covered,,,,
746,9,Uttar Pradesh(State),178,Sant Kabir Nagar,SANT KABIR NAGAR,Uttar Pradesh(State),SKN,56,186,Not Covered,,,,
534,3,Punjab(State),43,Sangrur,SANGRUR,Punjab(State),SNR,16,053,Not Covered,,,,
745,9,Uttar Pradesh(State),659,Sambhal,SAMBHAL,Uttar Pradesh(State),SBL,,000,Not Covered,,,,
511,21,Odisha(State),371,Sambalpur,SAMBALPUR,Odisha(State),SMB,03,372,Not Covered,,,,
261,1,Jammu And Kashmir(State),624,Samba,SAMBA,Jammu And Kashmir(State),SAM,,022,Not Covered,,,,
607,33,Tamil Nadu(State),584,Salem,SALEM,Tamil Nadu(State),SLM,08,608,Not Covered,,,,
