S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
458,15,Mizoram(State),726,Hnahthial,,Mizoram(State),HNH,,000,Not Covered,,,,
469,13,Nagaland(State),614,Kiphire,,Nagaland(State),KIP,02,269,Not Covered,,,,
471,13,Nagaland(State),615,Longleng,,Nagaland(State),LLG,02,268,Not Covered,,,,
477,13,Nagaland(State),613,Peren,,Nagaland(State),PER,07,271,Not Covered,,,,
517,3,Punjab(State),605,Barnala,,Punjab(State),BNL,,054,Not Covered,,,,
521,3,Punjab(State),651,Fazilka,,Punjab(State),FAZ,,000,Not Covered,,,,
528,3,Punjab(State),737,Malerkotla,,Punjab(State),MLR,,000,Not Covered,,,,
535,3,Punjab(State),608,S.A.S Nagar,,Punjab(State),SSR,,052,Not Covered,,,,
600,33,Tamil Nadu(State),735,Mayiladuthurai,,Tamil Nadu(State),MYL,,000,Not Covered,,,,
756,19,West Bengal(State),664,Alipurduar,,West Bengal(State),APD,,000,Not Covered,,,,
